pvalues_RARa_low padj_RARa_low
cluster_27 0.000236110802283199 0.0186527533803727
cluster_9 0.00194554961820675 0.0768492099191664
cluster_4 0.00654849429802135 0.149478865679704
cluster_11 0.00866269777896495 0.149478865679704
cluster_70 0.0113528252414965 0.149478865679704
cluster_71 0.0113528252414965 0.149478865679704
cluster_42 0.018963609823704 0.212189778921368
cluster_46 0.0241735191176242 0.212189778921368
cluster_78 0.0241735191176242 0.212189778921368
cluster_8 0.0305353751733928 0.241229463869803
cluster_57 0.0382244711557938 0.274521201937065
cluster_38 0.0474227507369445 0.312199775684885
cluster_50 0.0583140528543357 0.354370013499424
cluster_76 0.0710783457303001 0.401084950906694
cluster_43 0.122206754083343 0.536351865143562
cluster_58 0.122206754083343 0.536351865143562
cluster_62 0.122206754083343 0.536351865143562
cluster_72 0.122206754083343 0.536351865143562
cluster_45 0.143940555537117 0.568565194371613
cluster_66 0.143940555537117 0.568565194371613
cluster_15 0.168139453597325 0.603773492463123
cluster_21 0.168139453597325 0.603773492463123
cluster_41 0.194808537721413 0.641244769999652
cluster_47 0.194808537721413 0.641244769999652
cluster_56 0.223900586378437 0.707525852955862
cluster_39 0.255312555680001 0.747025625878522
cluster_48 0.255312555680001 0.747025625878522
cluster_79 0.288884116054321 0.81506589886755
cluster_10 0.324398487233553 0.831845562450987
cluster_73 0.324398487233553 0.831845562450987
cluster_13 0.361585696915549 0.831845562450987
cluster_19 0.361585696915549 0.831845562450987
cluster_35 0.361585696915549 0.831845562450987
cluster_2 0.400128245229589 0.831845562450987
cluster_3 0.400128245229589 0.831845562450987
cluster_37 0.400128245229589 0.831845562450987
cluster_40 0.400128245229589 0.831845562450987
cluster_53 0.400128245229589 0.831845562450987
cluster_74 0.4396690062458 0.890611576754313
cluster_12 0.479821051262018 0.902520548802367
cluster_29 0.479821051262018 0.902520548802367
cluster_63 0.479821051262018 0.902520548802367
cluster_17 0.5603309937542 0.999999999893894
cluster_36 0.5603309937542 0.999999999893894
cluster_44 0.599871754770411 0.999999999893894
cluster_5 0.675601512766447 0.999999999893894
cluster_59 0.711115883945679 0.999999999893894
cluster_30 0.805191462278587 0.999999999893894
cluster_33 0.856059444462883 0.999999999893894
cluster_54 0.877793245916657 0.999999999893894
cluster_65 0.877793245916657 0.999999999893894
cluster_75 0.877793245916657 0.999999999893894
cluster_31 0.914114921588031 0.999999999893894
cluster_55 0.914114921588031 0.999999999893894
cluster_64 0.914114921588031 0.999999999893894
cluster_51 0.941685947145664 0.999999999893894
cluster_6 0.941685947145664 0.999999999893894
cluster_69 0.941685947145664 0.999999999893894
cluster_16 0.952577249263055 0.999999999893894
cluster_68 0.952577249263055 0.999999999893894
cluster_22 0.961775528844206 0.999999999893894
cluster_49 0.961775528844206 0.999999999893894
cluster_14 0.969464624826607 0.999999999893894
cluster_24 0.969464624826607 0.999999999893894
cluster_34 0.975826480882376 0.999999999893894
cluster_60 0.975826480882376 0.999999999893894
cluster_67 0.975826480882376 0.999999999893894
cluster_32 0.981036390176296 0.999999999893894
cluster_25 0.991337302221035 0.999999999893894
cluster_61 0.995096052182578 0.999999999893894
cluster_77 0.995096052182578 0.999999999893894
cluster_52 0.998054450381793 0.999999999893894
cluster_20 0.999291963060124 0.999999999893894
cluster_28 0.999291963060124 0.999999999893894
cluster_26 0.999979874941834 0.999999999893894
cluster_23 0.999991821813261 0.999999999893894
cluster_1 0.999994864662433 0.999999999893894
cluster_7 0.999999950653896 0.999999999893894
cluster_18 0.999999999893894 0.999999999893894
