pvalues_RARa_high padj_RARa_high
cluster_18 2.05571069749027e-10 1.62401145101732e-08
cluster_7 8.61350277755152e-08 3.40233359713285e-06
cluster_1 8.17818673939254e-06 0.00021535891747067
cluster_23 1.28936449160533e-05 0.000254649487092053
cluster_26 3.10995198651364e-05 0.000491372413869155
cluster_20 0.00100133576792456 0.0113007893808628
cluster_28 0.00100133576792456 0.0113007893808628
cluster_52 0.00267310845310974 0.0263969459744587
cluster_61 0.00654849429802135 0.0517331049543687
cluster_77 0.00654849429802135 0.0517331049543687
cluster_25 0.0113528252414965 0.0815339267343841
cluster_32 0.0241735191176242 0.159142334191026
cluster_34 0.0305353751733928 0.160819642579869
cluster_60 0.0305353751733928 0.160819642579869
cluster_67 0.0305353751733928 0.160819642579869
cluster_14 0.0382244711557938 0.177631365959277
cluster_24 0.0382244711557938 0.177631365959277
cluster_22 0.0474227507369445 0.197178805695717
cluster_49 0.0474227507369445 0.197178805695717
cluster_16 0.0583140528543357 0.219371913118691
cluster_68 0.0583140528543357 0.219371913118691
cluster_51 0.0710783457303001 0.233966221362238
cluster_6 0.0710783457303001 0.233966221362238
cluster_69 0.0710783457303001 0.233966221362238
cluster_31 0.102885859686558 0.301036404268077
cluster_55 0.102885859686558 0.301036404268077
cluster_64 0.102885859686558 0.301036404268077
cluster_54 0.143940555537117 0.379043462914409
cluster_65 0.143940555537117 0.379043462914409
cluster_75 0.143940555537117 0.379043462914409
cluster_33 0.168139453597325 0.428484414006088
cluster_30 0.223900586378437 0.552754572621767
cluster_59 0.324398487233553 0.776590317922749
cluster_5 0.361585696915549 0.840155001656718
cluster_44 0.4396690062458 0.992395756954806
cluster_17 0.479821051262017 0.999839443467119
cluster_36 0.479821051262017 0.999839443467119
cluster_12 0.5603309937542 0.999839443467119
cluster_29 0.5603309937542 0.999839443467119
cluster_63 0.5603309937542 0.999839443467119
cluster_74 0.599871754770411 0.999839443467119
cluster_2 0.638414303084451 0.999839443467119
cluster_3 0.638414303084451 0.999839443467119
cluster_37 0.638414303084451 0.999839443467119
cluster_40 0.638414303084451 0.999839443467119
cluster_53 0.638414303084451 0.999839443467119
cluster_13 0.675601512766447 0.999839443467119
cluster_19 0.675601512766447 0.999839443467119
cluster_35 0.675601512766447 0.999839443467119
cluster_10 0.711115883945679 0.999839443467119
cluster_73 0.711115883945679 0.999839443467119
cluster_79 0.744687444319999 0.999839443467119
cluster_39 0.776099413621563 0.999839443467119
cluster_48 0.776099413621563 0.999839443467119
cluster_56 0.805191462278587 0.999839443467119
cluster_41 0.831860546402674 0.999839443467119
cluster_47 0.831860546402674 0.999839443467119
cluster_15 0.856059444462883 0.999839443467119
cluster_21 0.856059444462883 0.999839443467119
cluster_45 0.877793245916657 0.999839443467119
cluster_66 0.877793245916657 0.999839443467119
cluster_43 0.897114140313442 0.999839443467119
cluster_58 0.897114140313442 0.999839443467119
cluster_62 0.897114140313442 0.999839443467119
cluster_72 0.897114140313442 0.999839443467119
cluster_76 0.941685947145664 0.999839443467119
cluster_50 0.952577249263055 0.999839443467119
cluster_38 0.961775528844206 0.999839443467119
cluster_57 0.969464624826607 0.999839443467119
cluster_8 0.975826480882376 0.999839443467119
cluster_46 0.981036390176296 0.999839443467119
cluster_78 0.981036390176296 0.999839443467119
cluster_42 0.985259302104385 0.999839443467119
cluster_70 0.991337302221035 0.999839443467119
cluster_71 0.991337302221035 0.999839443467119
cluster_11 0.993451505701979 0.999839443467119
cluster_4 0.995096052182578 0.999839443467119
cluster_9 0.998597500432221 0.999839443467119
cluster_27 0.999839443467119 0.999839443467119
